id,year,city,brand,p1m,weekly,daily,visit,ppa,spending,segmentation,R_score,F_score,M_score,RFM_segment,KMeans_segment
104727,2017,Hà Nội,Highlands Coffee,Yes,No,No,2.0,50.0,100.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
104729,2017,Hà Nội,The Coffee House,Yes,No,No,3.0,50.0,150.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,2,2,222,0
105105,2017,Hà Nội,Highlands Coffee,Yes,No,No,2.0,30.0,60.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,1,211,2
105106,2017,Hà Nội,Starbucks,Yes,No,No,2.0,50.0,400.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
105106,2017,Hà Nội,Highlands Coffee,Yes,Yes,No,6.0,50.0,400.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,4,2,342,1
106231,2017,Hà Nội,Highlands Coffee,Yes,No,No,2.0,60.0,180.0,Seg.03 - Premium (VND 60K - VND 99K),2,1,3,213,2
106231,2017,Hà Nội,Cộng Cà Phê,Yes,No,No,1.0,60.0,180.0,Seg.03 - Premium (VND 60K - VND 99K),2,1,3,213,2
106234,2017,Hà Nội,Highlands Coffee,Yes,Yes,No,4.0,55.0,440.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,3,2,332,1
106234,2017,Hà Nội,Cộng Cà Phê,Yes,No,No,2.0,55.0,440.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
106514,2017,Hải Phòng,Highlands Coffee,Yes,No,No,3.0,35.0,105.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,2,1,221,0
106571,2017,Hà Nội,Highlands Coffee,Yes,No,No,1.0,50.0,150.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
106573,2017,Hà Nội,Highlands Coffee,Yes,No,No,2.0,40.0,160.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
106583,2017,Hà Nội,Highlands Coffee,Yes,No,No,3.0,50.0,150.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,2,2,222,0
106584,2017,Hà Nội,Highlands Coffee,Yes,No,No,2.0,55.0,110.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
106657,2017,Hà Nội,Trung Nguyên,Yes,No,No,2.0,100.0,400.0,Seg.04 - Super Premium (VND 100K+),2,1,4,214,2
106657,2017,Hà Nội,Highlands Coffee,Yes,No,No,2.0,100.0,400.0,Seg.04 - Super Premium (VND 100K+),2,1,4,214,2
106716,2017,Hồ Chí Minh,Trung Nguyên,Yes,No,No,2.0,60.0,120.0,Seg.03 - Premium (VND 60K - VND 99K),2,1,3,213,2
106717,2017,Hà Nội,Highlands Coffee,Yes,No,No,3.0,100.0,300.0,Seg.04 - Super Premium (VND 100K+),2,2,4,224,0
106718,2017,Hà Nội,Starbucks,Yes,No,No,2.0,80.0,160.0,Seg.03 - Premium (VND 60K - VND 99K),2,1,3,213,2
106725,2017,Hà Nội,Cộng Cà Phê,Yes,No,No,2.0,70.0,140.0,Seg.03 - Premium (VND 60K - VND 99K),2,1,3,213,2
106726,2017,Hà Nội,Cộng Cà Phê,Yes,No,No,2.0,80.0,160.0,Seg.03 - Premium (VND 60K - VND 99K),2,1,3,213,2
106765,2017,Hồ Chí Minh,Phúc Long,Yes,No,No,1.0,40.0,40.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
106766,2017,Hồ Chí Minh,Phúc Long,Yes,No,No,1.0,40.0,40.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
106769,2017,Hồ Chí Minh,Highlands Coffee,Yes,No,No,1.0,40.0,120.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
106769,2017,Hồ Chí Minh,Phúc Long,Yes,No,No,1.0,40.0,120.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
106770,2017,Hồ Chí Minh,Highlands Coffee,Yes,No,No,2.0,50.0,150.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
106770,2017,Hồ Chí Minh,The Coffee House,Yes,No,No,1.0,50.0,150.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
106771,2017,Hồ Chí Minh,Phúc Long,Yes,No,No,1.0,40.0,80.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
106771,2017,Hồ Chí Minh,Highlands Coffee,Yes,No,No,1.0,40.0,80.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
106832,2017,Cần Thơ,Highlands Coffee,Yes,No,No,1.0,30.0,30.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,1,211,2
106837,2017,Cần Thơ,Highlands Coffee,Yes,Yes,No,4.0,65.0,390.0,Seg.03 - Premium (VND 60K - VND 99K),3,3,3,333,3
106837,2017,Cần Thơ,Trung Nguyên,Yes,No,No,2.0,65.0,390.0,Seg.03 - Premium (VND 60K - VND 99K),2,1,3,213,2
107577,2017,Cần Thơ,Trung Nguyên,Yes,No,No,2.0,35.0,70.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,1,211,2
